"The Black Witch","Forest","Laurie","Banned pending investigation","A new Black Witch will rise…her powers vast beyond imagining.  Elloren Gardner is the granddaughter of the last prophesied Black Witch, Carnissa Gardner, who drove back the enemy forces and saved the Gardnerian people during the Realm War. But while she is the absolute spitting image of her famous grandmother, Elloren is utterly devoid of power in a society that prizes magical ability above all else.  When she is granted the opportunity to pursue her lifelong dream of becoming an apothecary, Elloren joins her brothers at the prestigious Verpax University to embrace a destiny of her own, free from the shadow of her grandmother’s legacy. But she soon realizes that the university, which admits all manner of people—including the fire-wielding, winged Icarals, the sworn enemies of all Gardnerians—is a treacherous place for the granddaughter of the Black Witch.  As evil looms on the horizon and the pressure to live up to her heritage builds, everything Elloren thought she knew will be challenged and torn away. Her best hope of survival may be among the most unlikely band of rebels…if only she can find the courage to trust those she’s been taught to fear.","Fantasy, Young Adult, Witches, Romance, Magic, Young Adult Fantasy, Fiction"
"Shadow of Night","Harkness","Deborah","Banned by restriction","Picking up from A Discovery of Witches’ cliffhanger ending, Shadow of Night takes Diana and Matthew on a trip through time to Elizabethan London, where they are plunged into a world of spies, magic, and a coterie of Matthew’s old friends, the School of Night. As the search for Ashmole 782 deepens and Diana seeks out a witch to tutor her in magic, the net of Matthew’s past tightens around them, and they embark on a very different—and vastly more dangerous—journey.","Fantasy, Romance, Fiction, Historical Fiction, Paranormal, Vampires, Witches"
"Somewhere Towards the End","Athill","Diana","Banned pending investigation","Winner of the 2009 National Book Critics Circle Award in Autobiography and a New York Times bestseller: a prize-winning, critically acclaimed memoir on life and aging ―“An honest joy to read” (Alice Munro). Diana Athill is one of the great editors in British publishing. For more than five decades she edited the likes of V. S. Naipaul and Jean Rhys, for whom she was a confidante and caretaker. As a writer, Diana Athill has made her reputation for the frankness and precisely expressed wisdom of her memoirs. Now in her ninety-first year, ""entirely untamed about both old and new conventions"" ( Literary Review ) and freed from any of the inhibitions that even she may have once had, Athill reflects candidly, and sometimes with great humor, on the condition of being old―the losses and occasionally the gains that age brings, the wisdom and fortitude required to face death. Distinguished by ""remarkable intelligence...[and the] easy elegance of her prose"" ( Daily Telegraph ), this short, well-crafted book, hailed as ""a virtuoso exercise"" ( Sunday Telegraph ) presents an inspiring work for those hoping to flourish in their later years.","Memoir, Nonfiction, Biography, Autobiography, Biography Memoir, Essays, Womens"
"Chain Of Iron","Clare","Cassandra","Banned pending investigation","The Shadowhunters must catch a killer in Edwardian London in this dangerous and romantic sequel to the #1 New York Times bestselling novel Chain of Gold, from New York Times and USA TODAY bestselling author Cassandra Clare. Chain of Iron is a Shadowhunters novel.  Cordelia Carstairs seems to have everything she ever wanted. She’s engaged to marry James Herondale, the boy she has loved since childhood. She has a new life in London with her best friend Lucie Herondale and James’s charming companions, the Merry Thieves. She is about to be reunited with her beloved father. And she bears the sword Cortana, a legendary hero’s blade.  But the truth is far grimmer. James and Cordelia’s marriage is a lie, arranged to save Cordelia’s reputation. James is in love with the mysterious Grace Blackthorn whose brother, Jesse, died years ago in a terrible accident. Cortana burns Cordelia’s hand when she touches it, while her father has grown bitter and angry. And a serial murderer is targeting the Shadowhunters of London, killing under cover of darkness, then vanishing without a trace.  Together with the Merry Thieves, Cordelia, James, and Lucie must follow the trail of the knife-wielding killer through the city’s most dangerous streets. All the while, each is keeping a shocking secret: Lucie, that she plans to raise Jesse from the dead; Cordelia, that she has sworn a dangerous oath of loyalty to a mysterious power; and James, that he is being drawn further each night into the dark web of his grandfather, the arch-demon Belial. And that he himself may be the killer they seek.","Fantasy, Young Adult, Romance, Historical Fiction, Young Adult Fantasy, Urban Fantasy, Paranormal"
"Who Put That Hair in my Toothbrush?","Spinelli","Jerry","Banned pending investigation","",""
"The Lesbiana's Guide to Catholic School","Reyes","Sonora","Banned","A debut novel about a queer Mexican American girl navigating Catholic school, while falling in love and learning to celebrate her true self.  Sixteen-year-old Yamilet Flores prefers to be known for her killer eyeliner, not for being one of the only Mexican kids at her new, mostly white, very rich Catholic school. But at least here no one knows she's gay, and Yami intends to keep it that way.  After being outed by her crush and ex-best friend before transferring to Slayton Catholic, Yami has new priorities: keep her brother out of trouble, make her mom proud, and, most importantly, don't fall in love. Granted, she's never been great at any of those things, but that's a problem for Future Yami.  The thing is, it's hard to fake being straight when Bo, the only openly queer girl at school, is so annoyingly perfect. And smart. And talented. And cute. . Either way, Yami isn't going to make the same mistake again. If word got back to her mom, she could face a lot worse than rejection. So she'll have to start asking, WWSGD: What would a straight girl do?","Romance, LGBT, Young Adult, Queer, Lesbian, Contemporary, Fiction"
"The Rocky Road Trip of Lydia Goldblatt and Julie Graham-Chang","Ignatow","Amy","Banned pending investigation","It’s summertime, and Julie and Lydia are going on a road trip! After all the ups and downs of their first year in junior high, they’re looking forward to seeing the sights and getting some new perspective on their quest for popularity. Papa Dad and Daddy will provide the transportation, and they’ll provide the entertainment. At first Julie and Lydia use their Powers of Observation to catalog the traditions and oddities of each new location they visit, but soon their attention turns to parents and family and negotiating sensitive family dynamics. By the time the duo hits familiar streets again, they may have to accept some uncomfortable truths, but their journey is infused with the humor, heart, and truthfulness that Amy Ignatow is known for.","Middle Grade, Graphic Novels, Childrens, Humor, Realistic Fiction, Fiction, LGBT"
"On Chesil Beach","McEwan","Ian","Banned by restriction","A novel of remarkable depth and poignancy from one of the most acclaimed writers of our time.  It is July 1962. Florence is a talented musician who dreams of a career on the concert stage and of the perfect life she will create with Edward, an earnest young history student at University College of London, who unexpectedly wooed and won her heart. Newly married that morning, both virgins, Edward and Florence arrive at a hotel on the Dorset coast. At dinner in their rooms they struggle to suppress their worries about the wedding night to come. Edward, eager for rapture, frets over Florence’s response to his advances and nurses a private fear of failure, while Florence’s anxieties run deeper: she is overcome by sheer disgust at the idea of physical contact, but dreads disappointing her husband when they finally lie down together in the honeymoon suite.  Ian McEwan has caught with understanding and compassion the innocence of Edward and Florence at a time when marriage was presumed to be the outward sign of maturity and independence. is another masterwork from McEwan—a story of lives transformed by a gesture not made or a word not spoken.","Fiction, Historical Fiction, Literary Fiction, Contemporary, Romance, British Literature, Literature"
"Over the Edge","Brockmann","Suzanne","Banned by restriction","Suzanne Brockmann has taken romantic suspense by storm with her action-packed thrillers. Now she has written the most gripping novel of her career–an unforgettable story of an explosive hostage situation in which two people are caught between the call of duty and the lure of destiny.  Her passion is flying. As one of the best helicopter pilots in the naval reserves, Lieutenant Teri Howe is strong, dedicated, and highly skilled–until a past mistake surfaces, jeopardizing everything she’s worked for.  Rock steady Senior Chief Stan Wolchonok has made a career of tackling difficult challenges. So it’s no surprise when he comes to Teri’s aid, knowing that his personal code of honor–and perhaps his heart–will be at risk. But when a jet carrying an American senator’s daughter is hijacked, Stan’s unflinching determination and Teri’s steadfast courage are put to the ultimate test. The rescue mission will be daring and dangerous. But somewhere between peril and resolution, the line between friends and lovers begins to blur, pushing both their lives over the edge . . . .","Romance, Romantic Suspense, Suspense, Military Fiction, Contemporary, Contemporary Romance, Fiction"
"Captain Underpants and the Sensational Saga of Sir Stink-a-Lot","Pilkey","Dav","Banned pending investigation","Laugh out loud with Captain Underpants, the #1 New York Times bestselling series from Dav Pilkey, the creator of Dog Man! George and Harold, and their doubles, Yesterday George and Yesterday Harold, have a good thing going. Two of them go to school, while the other two hide in the tree house and play video games all day -- then they switch! But it turns out there's something rotten in the state of Ohio, and it's smellier than a pile of putrid gym socks. The boys' malicious gym teacher, Mr. Meaner, has created a method of mind control that transforms their fellow students into attentive, obedient, perfect children. Now the future of all humanity is in George and Harold and Yesterday George and Yesterday Harold's hands!","Childrens, Humor, Fiction, Graphic Novels, Middle Grade, Chapter Books, Comics"
"Moonlight Becomes You","Clark","Mary Higgins","Banned pending investigation","Newport, Rhode Island: a world of old money, old names, and sinister secrets. Maggie Holloway, a fashion photographer, goes to visit a woman who had once been her stepmother, but when she arrives, the woman is dead, the victim of a violent robbery. Maggie is stunned when she learns that she's the beneficiary of the will - and even more stunned when she recognizes a pattern of murder in Newport society that will lead the killer straight to her.","Mystery, Fiction, Suspense, Thriller, Mystery Thriller, Crime, Adult"
"Bewitching","Flinn","Alex","Banned pending investigation","Bewitching can be a beast. . . .  Once, I put a curse on a beastly and arrogant high school boy. That one turned out all right. Others didn’t.  I go to a new school now—one where no one knows that I should have graduated long ago. I’m not still here because I’m stupid; I just don’t age.  You see, I’m immortal. And I pretty much know everything after hundreds of years—except for when to take my powers and butt out.  I want to help, but things just go awry in ways I could never predict. Like when I tried to free some children from a gingerbread house and ended up being hanged. After I came back from the dead (immortal, remember?), I tried to play matchmaker for a French prince and ended up banished from France forever. And that little mermaid I found in the lifeboat? I don’t even want to think about it.  Now a girl named Emma needs me. I probably shouldn’t get involved, but her gorgeous stepsister is conniving to the core. I think I have just the thing to fix that girl—and it isn’t an enchanted pumpkin. Although you never know what will happen when I start . . . bewitching.","Fantasy, Young Adult, Romance, Fairy Tales, Retellings, Magic, Witches"
"LGBTQ In America","Sheen","Barbara","Banned","""More than 11 million adults, or 4.5 percent of the total US population, identify as LGBTQ. The LGBTQ community is not only large, it is diverse. It is comprised of people of varied ages, ethnicities, religions, and economic levels who identify with a particular sexual orientation or gender identity, and share similar struggles for acceptance""--",""
